epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28076.3,0.74382,1.24634,0.93157,0.96573,0.94157,0.98323,0.79732,0.6545,0.77328,0.919,0.00055502,0.00055502,0.00055502
2,35597.6,0.74953,0.75223,0.93397,0.96002,0.95244,0.98357,0.79385,0.65823,0.60148,0.94102,0.00109969,0.00109969,0.00109969
3,37313.6,0.74649,0.64242,0.94442,0.9743,0.95527,0.98178,0.80016,0.64226,0.51074,0.93287,0.00163336,0.00163336,0.00163336
4,38812.2,0.71989,0.58153,0.92795,0.97895,0.96022,0.98798,0.81966,0.62247,0.46183,0.92135,0.00161749,0.00161749,0.00161749
5,40324.9,0.68785,0.54048,0.9202,0.97631,0.9677,0.98774,0.82904,0.60833,0.41725,0.90812,0.00160099,0.00160099,0.00160099
6,41238.5,0.67298,0.50013,0.91197,0.97796,0.96022,0.98722,0.82939,0.60522,0.40904,0.90061,0.00158448,0.00158448,0.00158448
