epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,182127,0.48616,0.27627,0.83508,0.98948,0.98081,0.99408,0.88813,0.47744,0.27231,0.83785,0.000990365,0.000990365,0.000990365
43,183165,0.48547,0.28017,0.83537,0.98902,0.98073,0.99344,0.88852,0.47542,0.26919,0.83566,0.000973861,0.000973861,0.000973861
44,184153,0.47844,0.2775,0.83535,0.98515,0.94326,0.97329,0.86347,0.50678,0.30964,0.85372,0.000957358,0.000957358,0.000957358
45,185232,0.48099,0.27488,0.83775,0.98655,0.97705,0.99242,0.88781,0.46987,0.26209,0.83405,0.000940855,0.000940855,0.000940855
46,186155,0.48531,0.27723,0.83848,0.98762,0.98316,0.99244,0.88628,0.47696,0.27015,0.83804,0.000924352,0.000924352,0.000924352
47,187000,0.48135,0.27286,0.836,0.99402,0.98128,0.9923,0.89442,0.47146,0.26017,0.83089,0.000907848,0.000907848,0.000907848
48,187870,0.47992,0.27127,0.83626,0.98485,0.97763,0.99168,0.88927,0.47635,0.26833,0.83648,0.000891345,0.000891345,0.000891345
49,230659,0.47114,0.26782,0.83204,0.98982,0.9805,0.99239,0.884,0.46701,0.26578,0.83125,0.000874842,0.000874842,0.000874842
50,232214,0.47216,0.26742,0.83336,0.98986,0.97882,0.99245,0.8875,0.46604,0.25731,0.83297,0.000858338,0.000858338,0.000858338
51,233495,0.47063,0.26914,0.83228,0.98929,0.9775,0.9935,0.89204,0.46859,0.26071,0.8358,0.000841835,0.000841835,0.000841835
52,234732,0.46824,0.26135,0.83276,0.98375,0.97555,0.99267,0.89033,0.46928,0.26627,0.83653,0.000825332,0.000825332,0.000825332
53,1726.45,0.47438,0.28828,0.84817,0.99034,0.98223,0.99372,0.89358,0.46679,0.25619,0.84255,0.000808828,0.000808828,0.000808828
54,3183.95,0.4744,0.26831,0.84648,0.98771,0.98258,0.99279,0.88996,0.46745,0.24877,0.84177,0.000792325,0.000792325,0.000792325
55,4526.28,0.46509,0.25909,0.83865,0.9876,0.98582,0.99368,0.89345,0.46838,0.2424,0.84285,0.000775822,0.000775822,0.000775822
56,5723.45,0.46574,0.25546,0.84075,0.99129,0.9819,0.99357,0.89881,0.46637,0.24969,0.84318,0.000759318,0.000759318,0.000759318
57,6827.09,0.45823,0.25608,0.83307,0.99262,0.97829,0.99372,0.89348,0.46599,0.24681,0.84296,0.000742815,0.000742815,0.000742815
58,7973.62,0.45764,0.25664,0.83138,0.98859,0.97767,0.99322,0.8951,0.46376,0.24781,0.84113,0.000726312,0.000726312,0.000726312
59,9096.32,0.45457,0.25183,0.83365,0.98942,0.97892,0.99333,0.89452,0.46454,0.24367,0.83887,0.000709809,0.000709809,0.000709809
60,17582.5,0.45524,0.25353,0.83145,0.99259,0.98181,0.99392,0.89715,0.46297,0.23843,0.83797,0.000693305,0.000693305,0.000693305
61,18829.2,0.45953,0.25553,0.83226,0.98868,0.98637,0.99296,0.8965,0.46843,0.24203,0.8406,0.000676802,0.000676802,0.000676802
62,20106.2,0.45186,0.25037,0.8305,0.99067,0.9841,0.99374,0.90134,0.45708,0.24141,0.83651,0.000660299,0.000660299,0.000660299
63,21343.7,0.45048,0.24532,0.82845,0.98111,0.9839,0.99297,0.89778,0.45717,0.24097,0.83824,0.000643795,0.000643795,0.000643795
64,22598.6,0.4461,0.24549,0.83109,0.99092,0.97984,0.99273,0.89624,0.45517,0.24054,0.83538,0.000627292,0.000627292,0.000627292
65,23963.7,0.44673,0.2445,0.82832,0.98988,0.9805,0.9918,0.89509,0.4596,0.24374,0.83804,0.000610789,0.000610789,0.000610789
66,25075.5,0.44343,0.24463,0.83003,0.98946,0.98541,0.99391,0.89655,0.4548,0.2378,0.83711,0.000594286,0.000594286,0.000594286
67,26264.8,0.4427,0.24428,0.82743,0.9903,0.9846,0.99265,0.89125,0.46234,0.23829,0.8394,0.000577782,0.000577782,0.000577782
68,27466.6,0.43974,0.23754,0.82527,0.99109,0.98314,0.99353,0.90076,0.45827,0.23395,0.83629,0.000561279,0.000561279,0.000561279
69,28800.3,0.43837,0.23498,0.82874,0.99162,0.98117,0.99351,0.90095,0.45485,0.23617,0.83496,0.000544776,0.000544776,0.000544776
70,29982.8,0.435,0.23426,0.82677,0.98986,0.98484,0.9934,0.90004,0.45556,0.23482,0.83378,0.000528272,0.000528272,0.000528272
71,1310.69,0.43174,0.25665,0.82671,0.99087,0.98504,0.99365,0.90237,0.4474,0.23807,0.83254,0.000511769,0.000511769,0.000511769
72,14862.8,0.42758,0.23471,0.82606,0.98944,0.98561,0.99211,0.90218,0.45283,0.22975,0.83367,0.000495266,0.000495266,0.000495266
73,16023.6,0.41995,0.22908,0.82231,0.98996,0.98763,0.99369,0.89973,0.44985,0.22962,0.83309,0.000478762,0.000478762,0.000478762
74,16979.9,0.4211,0.22763,0.82328,0.9908,0.98317,0.99378,0.90538,0.44512,0.22584,0.8322,0.000462259,0.000462259,0.000462259
75,18002.7,0.41104,0.2261,0.81895,0.99146,0.97992,0.99295,0.9021,0.45364,0.22879,0.83517,0.000445756,0.000445756,0.000445756
76,18951.6,0.4126,0.22524,0.81407,0.98918,0.98593,0.99302,0.90394,0.4542,0.22988,0.83415,0.000429253,0.000429253,0.000429253
77,19933.8,0.40989,0.22223,0.81915,0.99217,0.98092,0.99174,0.90198,0.44958,0.22465,0.8311,0.000412749,0.000412749,0.000412749
78,806.646,0.39341,0.24009,0.81787,0.99244,0.97412,0.99156,0.89844,0.44287,0.23406,0.83019,0.000396246,0.000396246,0.000396246
79,1558,0.39719,0.226,0.81751,0.99242,0.97995,0.99175,0.89453,0.45071,0.22902,0.83294,0.000379743,0.000379743,0.000379743
80,2243.06,0.38889,0.21788,0.81369,0.98935,0.98349,0.99264,0.89739,0.44976,0.22903,0.83243,0.000363239,0.000363239,0.000363239
81,2929.18,0.39312,0.21748,0.81653,0.98871,0.9843,0.99281,0.89958,0.45096,0.22636,0.83319,0.000346736,0.000346736,0.000346736
82,4349.4,0.3847,0.21194,0.81212,0.98891,0.98283,0.99294,0.89568,0.45535,0.22692,0.83622,0.000330233,0.000330233,0.000330233
